counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
counselor_name caliph, dropoff_day 3, dropoff_time 1100, item_name_list ['quesadillas', 'chips_and_salsa', 'smores'], num_people 10.0, pickup_day 2, pickup_time 1430, session 3, unit_name village
